200, 260, 260, 257, 260, 258, 259, 257, 261, 261, 260, 258, 261, 261, 260, 258, 259, 260, 260, 258, 260, 258, 257, 258, 260, 260, 259, 263, 259, 259, 258, 265, 259, 261, 260, 260, 258, 259, 259, 259, 257, 260, 258, 259, 256, 259, 259, 259, 256, 259, 258, 259.18
400, 290, 291, 291, 290, 289, 290, 290, 291, 289, 291, 290, 291, 290, 290, 290, 454, 293, 299, 292, 291, 292, 299, 289, 291, 291, 290, 291, 291, 290, 291, 292, 292, 292, 290, 290, 292, 290, 290, 291, 292, 291, 292, 290, 291, 291, 297, 290, 292, 290, 292, 294.48
600, 326, 319, 318, 318, 319, 318, 318, 318, 318, 319, 320, 325, 319, 321, 319, 587, 320, 319, 319, 325, 327, 320, 319, 324, 318, 319, 318, 320, 320, 318, 320, 327, 320, 319, 319, 317, 319, 318, 317, 320, 321, 319, 326, 325, 318, 317, 318, 318, 327, 319, 325.44
800, 320, 320, 320, 320, 332, 320, 320, 321, 319, 320, 320, 329, 321, 319, 321, 321, 326, 320, 329, 320, 320, 328, 320, 321, 320, 320, 321, 320, 319, 321, 321, 320, 320, 330, 320, 321, 320, 318, 573, 321, 326, 321, 329, 321, 322, 327, 320, 322, 322, 330, 327.04
1000, 320, 320, 321, 320, 321, 321, 321, 321, 322, 569, 327, 321, 320, 321, 327, 328, 321, 320, 323, 320, 322, 321, 321, 321, 320, 319, 320, 320, 321, 320, 320, 319, 321, 320, 322, 320, 319, 320, 326, 330, 320, 321, 320, 324, 319, 319, 320, 321, 322, 320, 326.24
1200, 344, 346, 346, 345, 345, 348, 344, 345, 352, 345, 344, 349, 344, 344, 344, 344, 347, 346, 344, 346, 345, 344, 344, 345, 343, 343, 352, 343, 345, 349, 345, 344, 344, 343, 343, 355, 344, 345, 344, 344, 348, 349, 344, 344, 353, 344, 344, 344, 344, 343, 345.46
1400, 345, 344, 348, 345, 345, 346, 352, 344, 345, 345, 346, 346, 345, 345, 350, 345, 352, 345, 344, 345, 345, 346, 344, 346, 345, 343, 345, 357, 345, 345, 343, 344, 344, 344, 343, 345, 345, 345, 355, 348, 345, 346, 344, 343, 346, 344, 346, 344, 353, 346, 345.92
1600, 376, 372, 372, 374, 371, 373, 376, 371, 371, 372, 371, 372, 377, 373, 372, 373, 372, 372, 371, 373, 373, 371, 373, 372, 377, 371, 372, 373, 373, 372, 381, 376, 371, 371, 372, 374, 377, 372, 372, 372, 373, 372, 371, 371, 372, 372, 372, 381, 371, 376, 373
1800, 371, 633, 374, 370, 373, 370, 371, 378, 369, 375, 370, 371, 370, 371, 374, 371, 370, 370, 370, 371, 369, 370, 382, 369, 370, 397, 370, 374, 375, 370, 369, 372, 371, 370, 369, 371, 369, 379, 369, 375, 369, 369, 370, 370, 370, 369, 370, 370, 378, 371, 377.16
2000, 370, 374, 370, 371, 369, 369, 369, 369, 369, 371, 379, 380, 370, 369, 369, 368, 370, 369, 369, 369, 370, 369, 368, 371, 370, 370, 370, 370, 381, 369, 369, 369, 370, 390, 370, 649, 383, 370, 371, 372, 370, 371, 368, 370, 374, 370, 368, 371, 373, 370, 376.78
2200, 394, 393, 394, 394, 404, 392, 393, 396, 395, 399, 394, 393, 394, 393, 395, 403, 394, 394, 393, 395, 395, 394, 399, 406, 393, 409, 395, 395, 394, 395, 395, 394, 393, 394, 392, 394, 395, 394, 395, 403, 395, 395, 394, 395, 395, 394, 394, 399, 393, 395, 395.5
2400, 396, 394, 395, 396, 395, 396, 395, 400, 393, 395, 396, 403, 397, 393, 395, 396, 395, 394, 395, 399, 395, 408, 395, 395, 397, 396, 394, 397, 395, 395, 396, 401, 395, 396, 404, 396, 396, 397, 396, 395, 396, 395, 395, 394, 407, 400, 394, 394, 396, 395, 396.46
2600, 424, 423, 421, 421, 422, 418, 422, 425, 420, 422, 420, 420, 422, 421, 420, 421, 421, 421, 426, 421, 421, 420, 420, 420, 420, 420, 422, 422, 421, 422, 420, 419, 421, 421, 420, 421, 421, 420, 420, 420, 421, 421, 421, 435, 431, 430, 430, 432, 431, 429, 422.46
2800, 420, 421, 421, 424, 420, 420, 420, 420, 421, 419, 420, 425, 420, 421, 420, 421, 421, 421, 420, 422, 436, 422, 421, 420, 421, 421, 421, 421, 421, 421, 421, 421, 421, 420, 420, 420, 420, 420, 419, 421, 420, 421, 420, 421, 421, 421, 421, 423, 421, 421, 421.1
3000, 421, 422, 420, 422, 420, 419, 425, 421, 429, 421, 421, 431, 421, 420, 418, 420, 420, 419, 420, 419, 419, 420, 420, 419, 421, 421, 419, 421, 429, 422, 419, 432, 420, 419, 432, 418, 418, 418, 419, 420, 419, 418, 420, 420, 419, 419, 420, 420, 428, 422, 421.2
3200, 442, 441, 441, 449, 445, 443, 441, 440, 442, 443, 445, 449, 441, 442, 442, 442, 446, 440, 442, 448, 458, 443, 443, 452, 443, 441, 442, 441, 442, 442, 454, 450, 441, 442, 443, 447, 442, 441, 443, 444, 442, 442, 443, 442, 441, 442, 441, 441, 442, 441, 443.5
3400, 444, 443, 446, 444, 445, 446, 444, 470, 450, 446, 445, 446, 444, 445, 462, 444, 444, 445, 444, 446, 445, 445, 445, 445, 444, 446, 447, 444, 454, 446, 444, 445, 447, 449, 444, 444, 445, 446, 445, 444, 443, 444, 443, 444, 445, 454, 443, 446, 445, 445, 446.18
3600, 480, 482, 492, 480, 486, 482, 487, 491, 481, 480, 485, 482, 480, 483, 480, 490, 484, 481, 484, 483, 493, 481, 499, 483, 480, 481, 480, 481, 480, 481, 486, 481, 481, 490, 480, 481, 480, 481, 482, 480, 479, 481, 481, 490, 480, 481, 481, 480, 481, 480, 482.96
3800, 465, 464, 465, 471, 464, 466, 464, 471, 465, 465, 463, 465, 464, 465, 473, 475, 464, 465, 464, 465, 464, 464, 464, 464, 465, 465, 465, 464, 467, 463, 463, 475, 465, 464, 464, 465, 464, 464, 463, 465, 465, 464, 463, 461, 474, 476, 465, 466, 462, 465, 465.62
4000, 466, 480, 469, 466, 467, 467, 474, 468, 471, 468, 467, 482, 467, 467, 466, 468, 476, 466, 468, 467, 468, 477, 466, 467, 468, 471, 478, 468, 467, 726, 469, 477, 467, 468, 475, 465, 471, 471, 466, 474, 467, 465, 470, 471, 477, 467, 467, 465, 497, 479, 475.48
4200, 493, 492, 492, 493, 493, 493, 492, 493, 493, 507, 491, 491, 490, 494, 492, 495, 498, 492, 492, 494, 501, 493, 504, 491, 502, 494, 501, 492, 499, 493, 491, 493, 491, 493, 491, 493, 493, 493, 492, 495, 491, 492, 490, 493, 491, 492, 492, 492, 492, 493, 493.66
4400, 488, 488, 489, 489, 496, 489, 486, 487, 487, 487, 488, 488, 488, 486, 486, 498, 486, 487, 486, 488, 499, 488, 488, 489, 486, 487, 487, 487, 487, 487, 487, 496, 488, 488, 486, 488, 487, 488, 485, 489, 488, 496, 489, 490, 488, 489, 493, 493, 486, 485, 488.62
4600, 487, 487, 487, 488, 496, 490, 488, 488, 487, 490, 488, 490, 486, 489, 488, 490, 490, 761, 493, 495, 516, 489, 491, 490, 487, 489, 488, 489, 494, 501, 489, 490, 516, 489, 488, 490, 488, 497, 487, 488, 487, 488, 492, 489, 487, 498, 488, 502, 489, 490, 496.48
4800, 511, 514, 512, 525, 517, 513, 513, 514, 511, 514, 513, 515, 520, 512, 521, 515, 512, 512, 514, 513, 513, 514, 514, 523, 513, 521, 513, 513, 515, 514, 512, 513, 513, 512, 513, 513, 513, 516, 512, 514, 523, 513, 514, 514, 513, 515, 513, 513, 513, 510, 514.32
5000, 512, 513, 513, 513, 512, 514, 514, 521, 514, 514, 514, 523, 515, 515, 512, 515, 514, 514, 513, 514, 513, 513, 512, 514, 517, 513, 514, 516, 522, 517, 514, 514, 511, 514, 513, 512, 512, 522, 512, 513, 521, 513, 512, 514, 513, 514, 521, 514, 512, 513, 514.48
