200, 259, 259, 267, 259, 258, 259, 258, 259, 258, 262, 258, 258, 255, 260, 259, 259, 259, 258, 258, 259, 259, 264, 259, 258, 259, 257, 259, 260, 259, 258, 266, 258, 259, 269, 259, 259, 258, 258, 258, 258, 256, 400, 268, 259, 259, 261, 259, 260, 259, 259, 262.3
700, 295, 296, 296, 294, 295, 295, 300, 295, 295, 294, 295, 297, 295, 297, 297, 297, 297, 295, 294, 295, 294, 295, 296, 294, 295, 294, 294, 295, 300, 292, 295, 298, 296, 294, 294, 293, 299, 302, 296, 295, 295, 294, 295, 293, 295, 294, 302, 294, 295, 295, 295.54
1200, 349, 350, 354, 350, 354, 348, 351, 358, 349, 349, 350, 350, 349, 349, 351, 350, 351, 351, 349, 349, 351, 351, 453, 350, 351, 350, 350, 359, 357, 350, 349, 349, 350, 349, 350, 351, 353, 350, 382, 354, 352, 352, 350, 351, 350, 360, 349, 349, 349, 348, 353.6
1700, 371, 375, 371, 371, 370, 371, 369, 372, 375, 370, 379, 380, 371, 372, 370, 371, 372, 375, 377, 382, 387, 374, 371, 372, 373, 372, 374, 372, 371, 380, 371, 370, 370, 375, 371, 371, 371, 371, 372, 372, 371, 372, 373, 371, 382, 373, 371, 371, 372, 371, 373.02
