50000, 38688, 38071, 38072, 38665, 38038, 38189, 38302, 38060, 38400, 38412, 38181, 38790, 37979, 38247, 38566, 38007, 39111, 38458, 37701, 38191, 37358, 38983, 37472, 38692, 43176, 37569, 53630, 37652, 38440, 37488, 38283, 57333, 46022, 59722, 38320, 37426, 38733, 37783, 38493, 38604, 37680, 73566, 38169, 38445, 38623, 38176, 38232, 87874, 38270, 38150, 41289.8
100000, 109061, 72794, 71858, 72298, 71737, 71838, 71101, 71235, 71056, 89712, 72961, 72338, 72217, 114823, 72861, 73256, 73129, 72725, 72737, 72588, 72827, 73264, 75486, 80942, 73084, 72691, 98738, 72458, 72305, 72652, 72507, 72265, 72578, 72708, 72467, 72896, 106029, 72492, 72425, 74564, 72543, 72734, 73061, 73368, 72922, 73091, 72787, 72910, 73161, 73046, 75946.5
500000, 336889, 337837, 391675, 444416, 432451, 439270, 448882, 466547, 569711, 441857, 436713, 463226, 584905, 4966143, 361336, 348826, 352848, 345353, 347813, 348349, 345879, 358880, 541514, 387293, 583698, 561478, 341658, 463074, 492607, 346305, 413075, 602693, 381460, 352832, 401699, 385893, 500841, 368240, 474456, 513604, 349423, 528341, 370566, 368090, 367767, 363408, 520667, 398324, 347387, 343019, 512784
1000000, 663773, 660593, 663202, 721697, 1128771, 690986, 922774, 751597, 833069, 829961, 702141, 807885, 868539, 729209, 782760, 1059757, 826148, 729257, 783065, 786761, 669612, 755123, 691465, 671658, 720599, 795039, 682557, 762813, 679467, 693510, 683487, 698644, 671840, 761617, 759485, 757155, 768014, 868708, 819345, 688901, 669836, 809362, 662703, 682002, 664507, 664997, 661138, 663137, 661472, 829472, 750192
