1, 169, 174, 169, 170, 172, 157, 156, 157, 158, 157, 157, 156, 157, 157, 157, 157, 174, 156, 157, 165, 157, 156, 157, 156, 157, 155, 156, 157, 156, 156, 156, 157, 156, 157, 157, 156, 156, 163, 158, 156, 156, 156, 157, 157, 156, 156, 157, 156, 157, 157, 158.64
5, 154, 155, 155, 155, 155, 155, 155, 163, 157, 156, 154, 155, 155, 155, 154, 154, 154, 154, 155, 154, 155, 155, 157, 155, 155, 154, 155, 155, 156, 154, 155, 155, 155, 155, 155, 154, 162, 157, 154, 155, 155, 154, 155, 155, 154, 155, 155, 154, 155, 154, 155.16
10, 153, 154, 154, 154, 156, 154, 156, 153, 154, 154, 152, 154, 154, 153, 155, 154, 153, 155, 154, 154, 153, 154, 153, 155, 154, 153, 154, 154, 156, 154, 153, 154, 153, 154, 153, 153, 153, 154, 154, 160, 154, 153, 154, 154, 153, 153, 153, 153, 153, 153, 153.88
15, 154, 154, 155, 161, 155, 154, 154, 154, 154, 154, 154, 153, 161, 155, 155, 154, 154, 154, 154, 154, 154, 161, 154, 154, 155, 154, 154, 154, 154, 154, 155, 154, 154, 154, 154, 154, 154, 154, 154, 155, 154, 154, 154, 154, 154, 153, 155, 154, 156, 154, 154.58
20, 148, 148, 148, 147, 148, 148, 147, 148, 148, 147, 148, 148, 154, 147, 148, 148, 148, 147, 147, 147, 148, 148, 148, 147, 148, 147, 147, 147, 147, 148, 147, 147, 148, 148, 148, 147, 148, 154, 147, 149, 147, 147, 147, 148, 148, 147, 149, 148, 147, 147, 147.84
25, 146, 147, 146, 147, 157, 147, 147, 147, 147, 147, 147, 147, 148, 147, 147, 147, 147, 147, 146, 147, 147, 147, 146, 147, 147, 147, 154, 147, 147, 147, 147, 147, 147, 147, 148, 147, 147, 147, 146, 147, 147, 148, 147, 147, 148, 147, 146, 147, 149, 147, 147.34
30, 148, 148, 147, 147, 148, 148, 155, 149, 148, 148, 147, 148, 148, 148, 148, 147, 148, 147, 147, 155, 148, 148, 147, 148, 147, 148, 148, 148, 148, 147, 153, 148, 155, 149, 149, 148, 148, 148, 147, 149, 148, 148, 147, 148, 148, 154, 147, 147, 147, 148, 148.44
35, 147, 147, 148, 148, 147, 148, 147, 148, 154, 148, 147, 149, 148, 147, 148, 147, 148, 147, 147, 148, 148, 148, 148, 147, 148, 155, 148, 147, 147, 147, 147, 148, 148, 148, 147, 148, 147, 154, 150, 148, 147, 147, 154, 148, 148, 148, 147, 147, 149, 148, 148.18
40, 150, 148, 149, 149, 148, 149, 148, 149, 148, 148, 149, 149, 149, 148, 149, 155, 149, 149, 149, 148, 148, 391, 150, 150, 149, 148, 150, 149, 150, 148, 149, 150, 149, 155, 148, 149, 149, 149, 148, 150, 151, 149, 148, 148, 150, 149, 148, 148, 148, 150, 153.96
45, 148, 149, 148, 149, 148, 148, 149, 148, 149, 148, 147, 150, 149, 152, 148, 149, 149, 148, 148, 148, 148, 148, 149, 148, 148, 150, 148, 149, 149, 154, 149, 148, 149, 148, 148, 148, 152, 148, 151, 150, 148, 148, 148, 148, 149, 148, 148, 148, 154, 148, 148.82
50, 148, 161, 151, 149, 149, 150, 148, 149, 149, 148, 149, 148, 148, 148, 150, 148, 149, 149, 154, 150, 148, 148, 148, 150, 148, 148, 149, 149, 149, 149, 148, 148, 150, 148, 149, 149, 149, 149, 148, 148, 150, 148, 149, 149, 149, 149, 149, 148, 148, 150, 149.12
