200, 215, 294, 280, 271, 271, 270, 271, 272, 269, 276, 269, 269, 271, 266, 267, 265, 265, 267, 274, 268, 275, 264, 268, 270, 266, 266, 268, 267, 271, 265, 265, 268, 264, 264, 266, 262, 273, 273, 265, 265, 265, 264, 264, 261, 299, 262, 273, 268, 263, 266, 268
700, 280, 344, 327, 332, 329, 328, 330, 330, 329, 339, 337, 327, 343, 331, 554, 335, 337, 334, 340, 338, 334, 335, 332, 333, 344, 335, 335, 338, 346, 337, 335, 338, 344, 334, 346, 333, 333, 350, 548, 334, 334, 338, 336, 334, 335, 335, 348, 336, 337, 348, 343.78
1200, 327, 392, 390, 402, 623, 402, 393, 400, 395, 397, 403, 397, 405, 402, 399, 407, 398, 401, 398, 403, 393, 405, 399, 401, 398, 407, 652, 403, 407, 404, 408, 402, 400, 401, 402, 407, 400, 399, 401, 409, 428, 400, 398, 403, 406, 398, 404, 395, 628, 404, 413.92
1700, 385, 449, 445, 482, 452, 451, 451, 453, 452, 447, 447, 666, 459, 460, 457, 454, 453, 462, 459, 459, 453, 461, 458, 483, 469, 468, 475, 683, 469, 465, 471, 470, 463, 466, 463, 471, 464, 464, 463, 469, 494, 466, 706, 477, 478, 481, 473, 473, 472, 486, 475.94
